,2005/1/1,2005/2/1,2005/3/1,2005/4/1,2005/5/1,2005/6/1,2005/7/1,2005/8/1,2005/9/1,2005/10/1,2005/11/1,2005/12/1,2006/1/1,2006/2/1,2006/3/1,2006/4/1,2006/5/1,2006/6/1,2006/7/1,2006/8/1,2006/9/1,2006/10/1,2006/11/1,2006/12/1,2007/1/1,2007/2/1,2007/3/1,2007/4/1,2007/5/1,2007/6/1,2007/7/1,2007/8/1,2007/9/1,2007/10/1,2007/11/1,2007/12/1,2008/1/1,2008/2/1,2008/3/1,2008/4/1,2008/5/1,2008/6/1,2008/7/1,2008/8/1,2008/9/1,2008/10/1,2008/11/1,2008/12/1,2009/1/1,2009/2/1,2009/3/1,2009/4/1,2009/5/1,2009/6/1,2009/7/1,2009/8/1,2009/9/1,2009/10/1,2009/11/1,2009/12/1,2010/1/1,2010/2/1,2010/3/1,2010/4/1,2010/5/1,2010/6/1,2010/7/1,2010/8/1,2010/9/1,2010/10/1,2010/11/1,2010/12/1,2011/1/1,2011/2/1,2011/3/1,2011/4/1,2011/5/1,2011/6/1,2011/7/1,2011/8/1,2011/9/1,2011/10/1,2011/11/1,2011/12/1,2012/1/1,2012/2/1,2012/3/1,2012/4/1,2012/5/1,2012/6/1,2012/7/1,2012/8/1,2012/9/1,2012/10/1,2012/11/1,2012/12/1,2013/1/1,2013/2/1,2013/3/1,2013/4/1,2013/5/1,2013/6/1,2013/7/1,2013/8/1,2013/9/1,2013/10/1,2013/11/1,2013/12/1,2014/1/1,2014/2/1,2014/3/1,2014/4/1,2014/5/1,2014/6/1,2014/7/1,2014/8/1,2014/9/1,2014/10/1,2014/11/1,2014/12/1,2015/1/1,2015/2/1,2015/3/1,2015/4/1,2015/5/1,2015/6/1,2015/7/1,2015/8/1,2015/9/1,2015/10/1,2015/11/1,2015/12/1,2016/1/1,2016/2/1,2016/3/1,2016/4/1,2016/5/1,2016/6/1,2016/7/1,2016/8/1,2016/9/1,2016/10/1,2016/11/1,2016/12/1,2017/1/1,2017/2/1,2017/3/1,2017/4/1,2017/5/1,2017/6/1,2017/7/1,2017/8/1,2017/9/1,2017/10/1,2017/11/1,2017/12/1,2018/1/1,2018/2/1,2018/3/1,2018/4/1,2018/5/1,2018/6/1,2018/7/1,2018/8/1,2018/9/1,2018/10/1,2018/11/1,2018/12/1,2019/1/1,2019/2/1,2019/3/1,2019/4/1,2019/5/1
0-7,14,37,82,253,238,118,87,43,22,3,7,26,48,82,98,82,90,53,34,34,17,12,9,10,19,58,113,128,124,57,44,24,30,13,4,25,12,32,92,112,170,149,66,50,17,31,32,84,119,260,282,366,118,29,12,7,5,3,1,3,10,17,22,21,39,19,9,5,10,7,2,4,7,9,10,14,12,14,7,2,0,0,1,2,1,5,2,3,1,0,3,0,1,0,0,0,13,65,224,274,276,83,84,86,51,28,13,12,30,67,102,160,122,74,45,34,26,13,28,116,66,95,198,255,218,128,61,67,36,14,9,5,15,15,25,29,22,24,25,20,7,1,7,14,3,2,7,15,8,6,2,8,11,7,4,12,1,1,1,8,14,8,2,7,19,5,6,3,1,0,1,5,0
8-17,19,42,100,302,310,186,88,71,23,12,22,37,41,87,91,101,116,82,83,63,45,24,10,40,39,97,149,157,143,109,66,41,24,19,13,41,18,39,78,185,254,168,101,91,69,77,125,249,167,248,292,278,89,30,11,10,12,5,7,4,6,14,22,21,43,30,11,22,15,4,7,3,5,12,16,21,7,7,2,1,2,0,0,1,0,1,1,3,2,0,1,1,0,0,0,0,16,37,186,164,188,98,76,88,41,35,26,21,30,63,106,147,134,56,49,40,38,22,36,110,67,66,185,184,154,101,75,48,27,20,16,19,18,23,30,23,23,42,18,21,17,8,19,32,9,5,8,19,20,11,18,17,20,16,29,27,2,2,7,16,25,14,15,11,12,12,21,10,6,1,9,10,0
18-23,3,4,9,23,13,7,10,5,2,1,0,0,4,3,6,11,8,5,6,5,2,1,0,3,1,7,9,12,13,4,7,0,3,2,0,0,1,2,6,14,16,11,11,2,4,4,8,17,11,18,16,17,9,3,2,1,0,1,0,0,0,0,2,2,4,2,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12,12,21,9,10,5,6,13,2,5,3,4,6,9,12,25,16,11,8,5,8,10,8,3,7,19,28,12,13,12,3,1,1,1,2,2,4,1,4,4,10,8,4,3,0,9,7,2,0,5,4,5,2,3,4,6,6,10,13,3,3,1,6,16,9,2,3,6,3,16,8,3,3,3,2,0
2-,1,12,18,67,68,29,29,15,3,3,1,7,13,16,26,26,28,15,14,10,5,4,5,6,12,18,32,50,48,25,14,9,6,6,1,4,4,4,15,27,68,30,21,10,6,6,22,41,50,50,41,30,12,3,1,0,1,0,1,0,1,1,4,4,4,7,1,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,16,20,22,7,12,7,4,6,3,6,4,7,16,18,21,15,10,6,6,10,20,20,5,6,30,31,35,24,8,5,2,1,4,3,0,1,2,1,4,10,6,10,0,9,16,23,0,4,9,6,7,6,7,8,7,5,12,10,0,0,3,5,11,12,4,4,7,13,21,14,2,0,2,1,0
3-,4,6,14,38,47,23,14,5,8,0,2,6,8,5,12,17,10,6,10,8,6,1,5,7,6,5,14,22,29,8,5,4,4,1,1,5,2,4,10,25,43,17,10,5,7,4,8,11,24,27,27,24,9,1,0,2,1,1,0,0,1,1,2,2,3,4,3,2,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,12,7,11,6,4,12,4,2,7,2,5,10,10,11,12,6,4,9,4,13,9,6,9,19,44,25,19,8,6,1,0,3,4,1,1,3,5,5,4,6,1,3,6,21,16,3,0,2,5,4,6,9,2,7,9,14,16,1,2,1,5,9,8,4,0,4,5,20,17,0,0,2,8,0
4-,3,3,10,60,35,22,8,3,3,2,0,1,7,2,16,22,15,6,8,9,4,5,5,1,4,7,18,26,23,14,5,8,4,3,3,2,0,0,0,4,25,16,7,2,0,1,2,18,13,15,29,21,11,4,2,0,0,0,0,0,1,1,1,2,0,2,0,1,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,17,12,12,4,3,1,5,5,4,4,4,9,8,11,7,4,4,4,2,8,6,2,5,19,25,24,14,8,3,2,3,5,1,1,3,1,5,6,5,1,5,2,2,6,13,1,2,11,4,2,9,2,0,3,2,1,17,2,1,4,7,3,6,5,1,7,1,7,12,1,2,6,2,0
5-,6,8,37,57,52,23,11,2,2,4,2,3,8,6,17,21,8,12,17,4,6,5,1,7,3,14,26,43,27,8,3,6,5,0,1,5,0,3,6,17,41,19,6,2,2,1,4,11,12,12,28,15,2,2,1,0,0,0,0,0,0,1,0,1,1,1,0,2,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,9,11,3,4,0,6,1,3,4,1,3,6,12,7,6,4,0,2,3,1,5,6,6,4,26,22,18,6,0,1,1,2,1,0,1,2,5,3,8,4,1,2,5,6,10,0,0,6,6,7,6,1,2,7,1,14,16,0,0,1,3,6,1,2,1,3,8,9,15,2,0,3,7,0
6-,4,3,29,60,74,35,11,6,1,1,1,3,6,4,15,25,26,11,5,6,6,5,4,11,14,13,16,47,39,15,3,1,2,0,2,5,2,0,5,11,32,16,7,4,1,1,4,5,10,8,11,6,5,6,3,1,0,0,0,0,0,3,0,3,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,10,6,4,0,5,3,2,1,5,0,5,2,3,5,7,6,6,4,3,4,2,3,11,10,19,29,15,7,7,2,1,0,3,1,0,3,2,8,7,1,2,0,4,4,13,2,2,6,4,4,5,4,4,7,7,4,10,1,2,5,4,5,8,6,2,2,6,12,14,0,3,3,4,1
7-,7,7,37,87,63,27,10,4,4,2,2,0,10,8,13,23,12,14,5,6,1,3,2,4,6,7,14,45,31,13,3,3,0,0,1,3,0,2,2,12,20,10,16,3,2,2,2,4,7,4,14,5,2,3,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,9,7,1,1,4,3,1,1,3,1,3,4,5,11,7,2,1,0,0,2,9,1,5,1,12,10,7,3,0,1,0,2,1,0,0,1,1,7,5,2,1,1,1,4,5,0,0,1,3,3,2,1,0,5,3,0,9,2,0,0,3,2,6,1,2,1,1,8,10,0,0,3,1,0
8-,7,6,43,63,56,19,9,3,4,2,3,9,6,6,9,14,11,9,5,4,2,1,1,5,8,5,15,39,28,17,9,1,1,0,1,2,1,2,2,14,31,9,4,1,6,1,2,11,6,11,19,12,8,2,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,6,3,3,2,3,0,4,0,1,1,3,2,3,5,4,2,0,2,1,5,1,7,10,18,15,14,6,0,0,2,3,0,0,1,3,3,2,1,0,2,1,3,8,6,1,0,3,3,1,3,0,2,2,1,4,7,2,0,1,2,6,4,2,0,1,3,5,4,0,0,0,2,0
